,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"164,622,482","+345,560","3,411,065","+6,937","144,706,048","+521,502","16,505,369","101,162","21,120",437.6,,,,All,"
",,,,,
125,125,Cambodia,"22,889",+345,156 ,+2,"14,343","+1,337","8,390",,"1,353",9,"1,079,873","63,819","16,920,960 ",Asia,739,"108,468",16,20,0.1,496
126,126,Guinea,"22,830",,152 ,,"20,421",,"2,257",24,"1,698",11,"445,243","33,122","13,442,322 ",Africa,589,"88,436",30,,,168
127,127,Réunion,"22,644",,169 ,,"21,603",,872,36,"25,135",188,"102,720","114,019","900,902 ",Africa,40,"5,331",9,,,968
128,128,French Guiana,"21,845",,109 ,,"9,995",,"11,741",25,"71,526",357,"238,822","781,967","305,412 ",South America,14,"2,802",1,,,"38,443"
129,129,Mayotte,"20,176",,171 ,,"2,964",,"17,041",6,"72,435",614,"176,919","635,163","278,541 ",Africa,14,"1,629",2,,,"61,180"
130,130,Mauritania,"18,858",,457 ,,"18,133",,268,14,"3,965",96,"250,574","52,687","4,755,887 ",Africa,252,"10,407",19,,,56
131,131,French Polynesia,"18,816",,141 ,,"18,656",,19,1,"66,646",499,"26,355","93,349","282,329 ",Australia/Oceania,15,"2,002",11,,,67
132,132,Eswatini,"18,523",,672 ,,"17,803",,48,3,"15,823",574,"201,525","172,146","1,170,663 ",Africa,63,"1,742",6,,,41
133,133,Trinidad and Tobago,"16,549",,294 ,,"10,370",,"5,885",15,"11,792",209,"153,997","109,727","1,403,457 ",North America,85,"4,774",9,,,"4,193"
134,134,Guadeloupe,"16,017",,221 ,,"2,242",,"13,554",33,"40,024",552,"195,404","488,285","400,184 ",North America,25,"1,811",2,,,"33,869"
